text|sentiment
günün herhangi bir saati uygun olurum teşekkür ederim|positive
hesabımla ilgili çok basit bi konu hakkında bişey soruçam ama alo garanti kadar zor bir sistem görmedim nasıl yapıcaz??|negative
38631234 numaralı şikayetime dönüş gerçekleşmedi neden acaba ?|negative
Devletmemuruym maaşımı garantdn alıyorm 300-500 tl arasibir paraya ihtiyç duydm hiçbirücretvefaiz ödemyecegm kampnyanz varmı|neutral
dosya masrafınız geri alın çekinmeyin|negative
dosya masrafınızı geri alınnnn http://tco/DAwK4AEOCU|negative
dosya masrafını geri almak isteyenlere duyurulur, mahkeme kararım ektedir dosya masrafınızı geri alın http://tco/GOH6L7n1XH|negative
05384173149 iletişim için|neutral
teşekkür ederim|positive
teşekkürler ilginize!!|negative
Bankanızla isteğim dışında ilişkimiz bugün itibariyle başladıMutsuzum ve bu konu hakkında şimdilik konuşmak istemiyorum.|negative
bonusgenç ile ilgili acil arar mısınız 2125963492|neutral
sayın garanti arkadaşlar bugün resmi tatilde sanırım Halen arayan soran yok Hayırdır ;)|negative
Geçmeyin kardeşim benle iletişime 3 günde 8 kere aranır mı bi insan |negative
müşteriyi mağdur etmekten başka işiniz yok|negative
onaylamama rağmen 5bin tlye çıkardığınız kartımı  şimdi limit artış talebi yapıorum ama onaylamiryosunuz.|negative
bekliyorum..|negative
Yeni iletişim bilgilerimi ön saatte işlem yapan banka personelinize ilettim cumaya kadar şahsen ilgileneceğini söyledi cumay##|negative
slipde 3 e bölünen alışveriş ım ekstreme peşin olarak yansımış şikayetçiyim|negative
buketsarionder Buket Hanım işlemiz sonuçlandırılmış olup her türlü görüş ve sorularınız için hesabımızı takip edebilirsiniz.|positive
umreak  ben onlara hiçbisey sormuyorum ve hesaplarımı kapattım en akıllıca iş bu oldu!!!!|negative
Bana geri dönüş yapacaktın, hala bekliyorum.|negative
Sizi en son Allah'a havale edeyim diyordumOndan bile 5 TL havale ücreti istediniz...!!!|negative
gönderdim, bu sorunun hızlıca çözümlenmesini bekliyorum.|negative
hızıl dönüş ve ilginiz için teşekkür ederim  |positive
Ankara'da kredi kartı teslimatı ile ilgili kurye bilgisi alabileceğim bir numara var mı 3 haftadır kart bekliyorum.|negative
hesap işletim ücreti kesiyormuşsunuz Mesaj göndermişsiniz neden ?|negative
arayan olmadı|negative
karadağmeral  Israrla alabileceklerini söylüyorlar ?|neutral
30 dk içerisinde olabilir|neutral
hâlen aramanızı bekliyorum.|negative
bunu diğer bütün bankalar kolaylıkla ve tek telefon ile kaybolan kartın yenisini anında iletiyor, |negative
ne zaman iletişime geçeceksiniz çok merak ediyorum ????|negative
Konuyla ilgili çözüm odaklı yaklaşımınızdan ötürü teşekkür ederim Müşteri memnuniyetine önem vermenizi takdir ediyorum |positive
kredi kartım ne zaman gelicek??|negative
26/11/2010 daki hesap hareketlerimi nasıl görebilirim?|neutral
ne hoş bir uygulamalokasyon  İstanbul/Sancaktepe Ortadağ semti|positive
Son kez'uyorumkart ücreti almayacağız maili atarsanız Bonus kartı iptal ettirmeyeceğim.|negative
Digitür play premium üyelik için ınternet  şubesine girdim ama promosyon kodu daha gelmedi Ne yapmalıyım?|negative
web yaptığım 69443 usd tutarındaki alışveriş bana 141524 tl olarak yansıtıldı neden Usd kuru hangi değerden hesapladınız?|negative
70 bin nüfuslu bir ilçeye sadece bankamatiği reva görüyorsunuz yetmiyor o bankamatiğinizde adam gibi çalışmıyor|negative
Adres bilgisi mi istiyorsunuz?|neutral
ne zaman çözüm için ulaşacaksınız??? 2 gündür bişey beceremediniz yazık yazık|negative
garanti bonuşun kampanyaları hakkında cep telefonuma bilgilendirme mesajı gelmiyor bu sorunu nasıl çözeceğiz.|negative
ismailkayarr İsmail Bey, işlemiz sonuçlandırılmış olup her türlü görüş ve sorularınız için hesabımızı takip edebilirsiniz.|positive
teşekkür ederim Artık hizmetlerinizle ilgilenmiyorum.|negative
Bi telefon bankacılığı ancak bu kadar kötü olabilirdi Başarmışsınız.|negative
Bana 26/11/2010 daki hesap hareketlerim lazım nasıl yardımcı olabilirsiniz.|neutral
0212 656 94 69 numaralı telefondan aranarak garanti bankasına borcum olduğuna dair rahatsız ediliyorum.|negative
saat sorunu yok arayabilirsiniz|neutral
4440333 devamlı meşgul çalıyor Nasıl ulaşabiliriz|negative
4440338ı arayarak daha çabuk çözüm buldum teşekkürler! :)|positive
ben bankanızın eski müşterisiyim müşteri önemlidir|negative
serhatkaradağ  yeni yasayla kart aidatı alamazlar!!!|negative
Bankasız Havale'yi Galatasaray Lisesi yanındaki ATM'den çekmek istedim ama para gelmediNasıl yardımcı olabilirsiniz?|negative
Sizi alkışlıyorum  Yıllık üyelik bedelinz 60 liraÜstelik yollamadığınız kart kalmıyorBu müşterilerinizi kullanmaktır|negative
Sizi alkışlıyorum  Yıllık üyelik bedelinz 60 liraÜstelik yollamadığınız kart kalmıyorBu müşterilerinizi kullanmaktır|negative
kredi kartımı kapattım 1 hafta sonra aradılar açalım puan yükleyelim dediler 10 gün oldu yüklenmedi bende dün iptal ettim|negative
Garanti Bankası'nın müşteri ilişkileri yöneticisinin müşteri ilişkilerinin i'sinden haberi yok |negative
Şu an arayabilirsiniz|neutral
Tek eli cepte, 2 parmağıyla akrep taşıyan bankamatik eskortlarınız görevliyi korumuyor, bizi tehlikeye atıyor Bilginize |negative
ilgi ve alakanıza çok teşekkür ederim...|negative
ne sorayımVaad ettiğiniz kampanya puanlarını bile kartlara yüklemiyorsunuz  Her kart hamili peşine mi düşecek bonuşların?|negative
26/11/2013 saat 12:45 - 13:00 arası aramanız uygundur Teşekkürler|positive
sorunlarımla neden ilgilenilmiyor ?!? Amacı ne bu profilin ?|negative
bugün 1000-1230 saatleri dışında bütün gün müsaitim|neutral
mesai saatleri içerisinde lütfen|neutral
saat 1130da arayabilirseniz müsaitim |neutral
Benim kredi kartı talebimin sonucu olumlu veya olumsuz olarak hala gelmemekte Beni bilgilendirmiyorsunuz bu 3 oldu.|negative
akşam 7 gibi.|neutral
DrOkanErol  sorunuz; :))|positive
suan müsaitim|neutral
Sosyal medya ekibiniz çok ilgili teşekkürler|positive
Suan arayabilirsiniz şimdi arayamıyorsanız yarın akşam 8 den sonra aramanızı rica edeceğim|positive
yarın öğlen saat 1300'dan sonra görüşebiliriz.|neutral
Yarın mesai saatlerinde lütfen Teşekkür ederim ilginize.|positive
şubelerinizdeki çalışanlardan çok destek hattınızdaki çalışanların duyarlılığı ve bize yansıttığı memnuniyet ?|positive
yarın sabah 9 dan 11e akşam 4 ten sonra hiç farketmez|positive
Uygunum arayabilirsiniz|neutral
iyi akşamlar kredi kartın gelmedi 15 günü geçti|negative
0900-2000 her zaman!|positive
suan müsaitim..|neutral
en kısa sürede mümkünse!|negative
ATM kontrolleri hangi günler yapılıyor ?|neutral
ben direk hesap numarası vereyim olmaz mı?|neutral
tufan turhan 05456103535|neutral
Ezgi Hanım'a ilgi ve yardımlarından ötürü teşekkür ederim CC ekibiniz kendilerinden örnek almalı |positive
kcil1907 kuryenet aynısı banada öldü...|negative
bilgilerimi ilettim umarım en kısa zamanda ulaşır çözüm üretirsiniz Teşekkürler.|positive
sabahtan beri bekliyorum, aramayacaksanız neden müsaitlik durumumu sordunuz ki Bekliyorum...|negative
kartlar ne kadar sürede teslim oluyor 2 haftayı geçti hala bekliyoruz kredi kartlarını??|negative
Hızlı geri dönüşünüz için tekrar teşekkürler.|positive
bekliyorum efendim..|negative
sizi Tüketici haklarına ve bddk'ya şikayet edicem.|negative
Bundan sonra Garanti Bankasıyla çalışmak mı Asla asla asla  bonuscard|negative
ne yazıkki muş hız var sanıyorsunuz ama yok Bir işlemi yapmaktan aciz veya nasıl davranacağını bilmekten acizler|negative
son 3 saat oldu bi sorunu çözemediniz Ve kartımı iptal ediyorum ayrıca hesaplarımı kapatıyorum.|negative
payu ödeme hizmetleri adı altında hesabımdan 2073 tl kurum ödemesi yapılmış... payu nedir neden haberim olmadan para alındı?|negative
unca cevap alabiliyor muyuz acaba  Kafamda deli sorular..|negative
Telefonumu ve Adıma  kapatılmış hesapların yeniden gündeme gelmesini istemiyorum iptaledin|negative
Müşteri hizmetleri temsilcisine telefonla bağlanmak mümkün mü  |neutral
hangi cumhuriyet _ banka değil mafya İptal edilen hesabımdan dolayı hesap işletimsizlik aidatı almak ile tehdit ediliyorum..|negative
abdullah oral adına kayıtlı ne varsa iptal edilsin sizin tehditlerinizi okumak istemiyorum|negative
yer__elması banka değil mafya İptal edilen hesabımdan dolayı hesap işletimsizlik aidatı almak ile tehdit ediliyorum..|negative
banka değil mafya İptal edilen hesabımdan dolayı hesap işletimsizlik aidatı almak ile tehdit ediliyorum..|negative
İptal edilen hesabımdan dolayı hesap işletimsizlik aidatı almak ile tehdit ediliyorum..|negative
Garanti bankasından tüm hesaplarımı kapattığım halde telefonuma tahrik mesajları geliyor ve beni olmayan kartlarımı ıpta|negative
min 30, max 120 olmadı ortalama 45 gün içerisindemi derdimi çözeceksiniz?|negative
2 buçuk ay oldu hala kredi kartım gelmedi acaba ben ölmeden elime ulaşır mı ??|negative
aldığınız her nefesten komisyon almaya kalkmayan, 2 haftada bir müşteri temsilcisi değiştirmeyen bir banka önerebilir misiniz?|negative
