,UnixTime,Tweet,Polarity
0,1573825353969.0,"RT @VakifBankKY: Yarismamiz basliyor!
VakifBank Kultur Yayinlarinin essiz eserlerinden birini kazanmak ister misiniz?
Bu paylasimin altina...",1.0
1,1573825353969.0,"RT @VakifBankKY: Yarismamiz basliyor!
VakifBank Kultur Yayinlarinin essiz eserlerinden birini kazanmak ister misiniz?
Bu paylasimin altina...",1.0
2,1573825479156.0,"RT @VakifBankKY: Yarismamiz basliyor!
VakifBank Kultur Yayinlarinin essiz eserlerinden birini kazanmak ister misiniz?
Bu paylasimin altina...",1.0
3,1573825479156.0,"RT @VakifBankKY: Yarismamiz basliyor!
VakifBank Kultur Yayinlarinin essiz eserlerinden birini kazanmak ister misiniz?
Bu paylasimin altina...",1.0
4,1573825520183.0,"RT @VakifBankKY: Yarismamiz basliyor!
VakifBank Kultur Yayinlarinin essiz eserlerinden birini kazanmak ister misiniz?
Bu paylasimin altina...",1.0
5,1573825520183.0,"RT @VakifBankKY: Yarismamiz basliyor!
VakifBank Kultur Yayinlarinin essiz eserlerinden birini kazanmak ister misiniz?
Bu paylasimin altina...",1.0
6,1573826081931.0,"RT @VakifBankKY: Yarismamiz basliyor!
VakifBank Kultur Yayinlarinin essiz eserlerinden birini kazanmak ister misiniz?
Bu paylasimin altina...",1.0
7,1573826081931.0,"RT @VakifBankKY: Yarismamiz basliyor!
VakifBank Kultur Yayinlarinin essiz eserlerinden birini kazanmak ister misiniz?
Bu paylasimin altina...",1.0
8,1573826162170.0,"RT @VakifBankKY: Yarismamiz basliyor!
VakifBank Kultur Yayinlarinin essiz eserlerinden birini kazanmak ister misiniz?
Bu paylasimin altina...",1.0
9,1573826162170.0,"RT @VakifBankKY: Yarismamiz basliyor!
VakifBank Kultur Yayinlarinin essiz eserlerinden birini kazanmak ister misiniz?
Bu paylasimin altina...",1.0
10,1573826208996.0,"RT @VakifBankKY: Yarismamiz basliyor!
VakifBank Kultur Yayinlarinin essiz eserlerinden birini kazanmak ister misiniz?
Bu paylasimin altina...",1.0
11,1573826208996.0,"RT @VakifBankKY: Yarismamiz basliyor!
VakifBank Kultur Yayinlarinin essiz eserlerinden birini kazanmak ister misiniz?
Bu paylasimin altina...",1.0
12,1573826227732.0,Vakifbank kotusun,0.0
13,1573826227732.0,Vakifbank kotusun,0.0
14,1573826432391.0,Vakifbank genel mudurlugu tarafindan ozel musterilere tahsis edilen BANKOCEKi Vakifbank Karsiyaka Metro Sb.Ticari...,0.0
15,1573826432391.0,Vakifbank genel mudurlugu tarafindan ozel musterilere tahsis edilen BANKOCEKi Vakifbank Karsiyaka Metro Sb.Ticari...,0.0
16,1573826631478.0,"RT @VakifBankKY: Yarismamiz basliyor!
VakifBank Kultur Yayinlarinin essiz eserlerinden birini kazanmak ister misiniz?
Bu paylasimin altina...",1.0
17,1573826631478.0,"RT @VakifBankKY: Yarismamiz basliyor!
VakifBank Kultur Yayinlarinin essiz eserlerinden birini kazanmak ister misiniz?
Bu paylasimin altina...",1.0
18,1573826705391.0,"RT @VakifBankKY: Yarismamiz basliyor!
VakifBank Kultur Yayinlarinin essiz eserlerinden birini kazanmak ister misiniz?
Bu paylasimin altina...",1.0
19,1573826705391.0,"RT @VakifBankKY: Yarismamiz basliyor!
VakifBank Kultur Yayinlarinin essiz eserlerinden birini kazanmak ister misiniz?
Bu paylasimin altina...",1.0
20,1573826827988.0,"RT @VakifBankKY: Yarismamiz basliyor!
VakifBank Kultur Yayinlarinin essiz eserlerinden birini kazanmak ister misiniz?
Bu paylasimin altina...",1.0
21,1573826827988.0,"RT @VakifBankKY: Yarismamiz basliyor!
VakifBank Kultur Yayinlarinin essiz eserlerinden birini kazanmak ister misiniz?
Bu paylasimin altina...",1.0
22,1573826891201.0,"RT @VakifBankKY: Yarismamiz basliyor!
VakifBank Kultur Yayinlarinin essiz eserlerinden birini kazanmak ister misiniz?
Bu paylasimin altina...",1.0
23,1573826891201.0,"RT @VakifBankKY: Yarismamiz basliyor!
VakifBank Kultur Yayinlarinin essiz eserlerinden birini kazanmak ister misiniz?
Bu paylasimin altina...",1.0
24,1573827173447.0,eskisehir teknik universitesi estu vakifbank ydyo hazirlik,0.0
25,1573827173447.0,eskisehir teknik universitesi estu vakifbank ydyo hazirlik,0.0
26,1573827300315.0,''AL'' ONERISI ILE %39 YUKSELIS BEKLENEN HISSE,0.0
27,1573827300315.0,''AL'' ONERISI ILE %39 YUKSELIS BEKLENEN HISSE,0.0
28,1573827301443.0,RT @ParaBorsaNet: ''AL'' ONERISI ILE %39 YUKSELIS BEKLENEN HISSE,1.0
29,1573827301443.0,RT @ParaBorsaNet: ''AL'' ONERISI ILE %39 YUKSELIS BEKLENEN HISSE,1.0
30,1573827361940.0,RT @ParaBorsaNet: ''AL'' ONERISI ILE %39 YUKSELIS BEKLENEN HISSE,1.0
31,1573827361940.0,RT @ParaBorsaNet: ''AL'' ONERISI ILE %39 YUKSELIS BEKLENEN HISSE,1.0
